本文,歌人,歌集,年代,雑誌
河みづのあの幾筋に分れたる砂原に居らば寂しかるらん,島木赤彦,馬鈴薯の花,1910,アララギ
夕白く河原母子草のうち靡く川はらに來て見るさびしさよ,島木赤彦,馬鈴薯の花,1910,アララギ
家居,島木赤彦,馬鈴薯の花,1910,アララギ
雨あがる夕べの寒さ何處よりか日影洩れ來ぬ襖の上に,島木赤彦,馬鈴薯の花,1910,アララギ
桑つみに行きたる妻もかへらねばおのれ一人を暮れめぐるかな,島木赤彦,馬鈴薯の花,1910,アララギ
家の隅桑に飢ゑたる蠶らもわがともす灯をうれしかるらん,島木赤彦,馬鈴薯の花,1910,アララギ
畑の上黃の蔓枯れのいちじるく夕にほひつつ黑ずみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
南瓜の花,島木赤彦,馬鈴薯の花,1910,アララギ
向ひ家の南瓜の花は屋根をこえて延び來るかな黃の花を向けて,島木赤彦,馬鈴薯の花,1910,アララギ
南瓜の花見てあれば啞娘いくたりも來て窓に竝びぬ,島木赤彦,馬鈴薯の花,1910,アララギ
うつくしき啞娘らがあはれげに南瓜の花にかへりゆくかな,島木赤彦,馬鈴薯の花,1910,アララギ
暗しくらしかの唐茄子の花底に蜜吸ふ虻もくさり居るらん,島木赤彦,馬鈴薯の花,1910,アララギ
娘が、工女となりて行きしかば南瓜の花に家を任せぬ,島木赤彦,馬鈴薯の花,1910,アララギ
病院の前の下宿,島木赤彦,馬鈴薯の花,1910,アララギ
まだ解かぬ荷のかたはらにあはれなる我が子をおきぬ毛布をきせて,島木赤彦,馬鈴薯の花,1910,アララギ
膝の前の冷めたき穴に重もおもと幾日の•灰の濕めり居るかな,島木赤彦,馬鈴薯の花,1910,アララギ
疊の、久しき冷えが三人を待ちて居しよな坐り心かな,島木赤彦,馬鈴薯の花,1910,アララギ
あはれなる父ははとなりてすわり居るあが膝すらを疑ひにけり,島木赤彦,馬鈴薯の花,1910,アララギ
いづこに今日來りしか知らぬゆゑに母の膝ペに眠り居るかな,島木赤彦,馬鈴薯の花,1910,アララギ
すぐ其所に見ゆる怖れを黙しつつうつろの部屋を見まはしにけり,島木赤彦,馬鈴薯の花,1910,アララギ
疲れつつ眠り入りたる子のそばに帶をほどきぬあはれなる妻は,島木赤彦,馬鈴薯の花,1910,アララギ
寂しき、二人ごころのしたしみに茶のみ茶碗を買ひに行くなり,島木赤彦,馬鈴薯の花,1910,アララギ
ひそましき障子のけはひに來て觸るる夕日にも心寄る我等かな,島木赤彦,馬鈴薯の花,1910,アララギ
岡谷　三首,島木赤彦,馬鈴薯の花,1910,アララギ
夕まぐれ街に沈める煤煙に灯火鈍くにじみそめつも,島木赤彦,馬鈴薯の花,1910,アララギ
けむりの街冷めたき人の眼のごとき雨が降り來て肩しめるなり,島木赤彦,馬鈴薯の花,1910,アララギ
ふいごの、火を吹く光りに人間のをはりの顏が赤く動けり,島木赤彦,馬鈴薯の花,1910,アララギ
稻の色に雨ふる晝の靜けさに沼の肌へに舟うかぶなり,島木赤彦,馬鈴薯の花,1910,アララギ
靜かに暮れゆく沼に黑き舟波動かしてあさり居るかな,島木赤彦,馬鈴薯の花,1910,アララギ
雨もよひ暮れひそみたる沼の上うれしや舟に灯がつきにけり,島木赤彦,馬鈴薯の花,1910,アララギ
靄らしきうすき濕りにつつまるる遠き灯を戀しみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
町の灯の遠空明かし濕りたる夜のけはひの水にほのかに,島木赤彦,馬鈴薯の花,1910,アララギ
毎晚、もみてもらはねば眠り得ぬ氣たるき肉と今はなりつも,島木赤彦,馬鈴薯の花,1910,アララギ
按摩の、指のさはりのうつうっと疲れねぶりにねぶり行くかな,島木赤彦,馬鈴薯の花,1910,アララギ
東京　十四首,島木赤彦,馬鈴薯の花,1910,アララギ
この一室まいばん頰を寄せ馴るる火鉢ひとつはかはゆかりけれ,島木赤彦,馬鈴薯の花,1910,アララギ
おのが身に思ひかへればつまらなく火鉢の炭をつつきて居たり,島木赤彦,馬鈴薯の花,1910,アララギ
あはれなる我身を見じとする心火鉢の灰に唾吐きにけり,島木赤彦,馬鈴薯の花,1910,アララギ
今はこころ分らずなりぬ煙草をば吸ひ吸ふままに口苦がくなりぬ,島木赤彦,馬鈴薯の花,1910,アララギ
夜の街に出でて來んかと思ひつつどよみの音に疲れたるかも,島木赤彦,馬鈴薯の花,1910,アララギ
夜の街どよみを止めぬ灰の上に火鉢の緣の影する寒さ,島木赤彦,馬鈴薯の花,1910,アララギ
牛屋の、鍋の香による人だかり其のなかの我が膝がしらかな,島木赤彦,馬鈴薯の花,1910,アララギ
都の、どよみの灯影とほく來てここにひそめる濠明りかな,島木赤彦,馬鈴薯の花,1910,アララギ
鬼子母神,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
丘のうねり暮れ靡くかな夕燒の雲の下には街の灯見ゆれ,島木赤彦,馬鈴薯の花,1910,アララギ
武藏野の芒の梟買ひに來ておそかりしかば灯ともしにけり,島木赤彦,馬鈴薯の花,1910,アララギ
大槻の冬木の家に灯ともして銅の錢かぞへけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
暮れて洗ふ大根の白さ土低く武藏野の闇はひろがりて居り,島木赤彦,馬鈴薯の花,1910,アララギ
歌集を編みてやるよりも死ぬる前に一目逢ひたらばうれしがりたらん,島木赤彦,馬鈴薯の花,1910,アララギ
泊らずに歸りし事を東京の郊外に來てさびしく思ふ,島木赤彦,馬鈴薯の花,1910,アララギ
