本文,作者,歌集,年代,雑誌（結社）
くろきものおたまじやくしは命もち今か生れなむもの怖ぢながら,斎藤茂吉,あらたま,1914,アララギ
あかねさす晝の光の尊くておれまじやくしは生れやまずけり,斎藤茂吉,あらたま,1914,アララギ
まんまんと滿つる光に生れゐるおたまじゃくしの目は見ゆるらむ,斎藤茂吉,あらたま,1914,アララギ
かへるごの池いちめんになりたらば術あらめやと心散りをり,斎藤茂吉,あらたま,1914,アララギ
水際にはおたまじやくしの聚合の凝り動かねば夕さりにけり,斎藤茂吉,あらたま,1914,アララギ
くろぐろと命みじかく寄りあへるおたまじやくしをしまらくは見む,斎藤茂吉,あらたま,1914,アララギ
きちがひの遊步がへりのむらがりのひとり掌を合す水に向きつつ,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
朝の螢,斎藤茂吉,あらたま,1914,アララギ
足乳根の母に連れられ川越えし田越えしこともありにけむもの,斎藤茂吉,あらたま,1914,アララギ
草づたふ朝の螢よみじかかるわれのいのちを死なしむなゆめ,斎藤茂吉,あらたま,1914,アララギ
朝どりの朝立つわれの靴下のやぶれもさびし夏さりにけり,斎藤茂吉,あらたま,1914,アララギ
こころ妻まだうら若く戸をあけて月は紅しといひにけるかも,斎藤茂吉,あらたま,1914,アララギ
わくらはに生れこしわれと思へども妻なればとてあひ寢るらむか,斎藤茂吉,あらたま,1914,アララギ
ぎばうしゆの葉のひろごりに日ならべし梅雨晴れて暑しこのごろ,斎藤茂吉,あらたま,1914,アララギ
代々木野をむらがり走る汗馬をかなしと思ふ夏さりにけり,斎藤茂吉,あらたま,1914,アララギ
みじかかるこの世を經むとうらかなし女の連のありといふかも,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
百日紅,斎藤茂吉,あらたま,1914,アララギ
われ起きてあはれといひぬとどろける疾風のなかに蟬は嗚かざり,斎藤茂吉,あらたま,1914,アララギ
